title,total_score,reviews_count,street,city,state,country_code,website,phone,categories,url,category_name
Gym,4.5,37,Rodríguez 4616,Rosario,Santa Fe Province,AR,,+54 341 256-4924,Gym,https://www.google.com/maps/search/?api=1&query=Gym&query_place_id=ChIJQQQ0hZGrt5UR-zhMF0ASXZ0,Gym
Armagedon GYM,4.6,108,Ing. Mosconi 1140,Villa Gobernador Gálvez,Santa Fe Province,AR,,+54 341 518-5377,Gym,https://www.google.com/maps/search/?api=1&query=Armagedon%20GYM&query_place_id=ChIJ6d5yh6Cpt5URuLfcEnPIpXM,Gym
Gym Gorillaz,4.9,32,Cullen,Rosario,Santa Fe Province,AR,https://www.instagram.com/gorillaz___gym?igsh=MWJ1ZzdiOHpyaHJjNw==,+54 341 619-7383,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20Gorillaz&query_place_id=ChIJl7ii3cKst5URtsATif3Lc3w,Gym
Estación Club Fisherton - Gym,4.4,180,Av. Azcuénaga 8245,Rosario,Santa Fe Province,AR,http://estacionclub.com/,+54 341 672-3490,Gym,https://www.google.com/maps/search/?api=1&query=Estaci%C3%B3n%20Club%20Fisherton%20-%20Gym&query_place_id=ChIJS_d8PepStpURAPouQQDpjZA,Gym
Power Ultra Gym,4.8,19,Av. Uriburu 515,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Power%20Ultra%20Gym&query_place_id=ChIJyd3sUqurt5URxVJY1ThE30U,Gym
Gym La Torre,4.7,35,Sarmiento 251,Arroyo Seco,Santa Fe Province,AR,,,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Gym%20La%20Torre&query_place_id=ChIJP-4dpcELt5URWANHgI4DaEY,Gymnastics center
GYM BODY FACTORY,4.8,69,,Puerto General San Martín,Santa Fe Province,AR,,+54 3476 61-8012,Gym,https://www.google.com/maps/search/?api=1&query=GYM%20BODY%20FACTORY&query_place_id=ChIJXSIcBNpbtpURUvnTK7MPlDs,Gym
Olimpo Gym,4.9,47,"727, EOC, Av. Alberdi",Rosario,Santa Fe Province,AR,https://m.facebook.com/olimporosario.gym/,+54 341 684-3493,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Olimpo%20Gym&query_place_id=ChIJyVesj1tTtpUR7MfpsXq_7ck,Gymnastics center
YANI - GYM,4.2,69,Cnel. M. Biedma 5141,Rosario,Santa Fe Province,AR,,+54 341 371-5688,Gym,https://www.google.com/maps/search/?api=1&query=YANI%20-%20GYM&query_place_id=ChIJy13Wd4yst5URojbIBYCmvwg,Gym
Qualis Gym,4.9,103,"PDE Rosario Santa Fe AR, Ignacio Warnes 1019",Rosario,Santa Fe Province,AR,https://instagram.com/qualis.gym?igshid=zh61eglz5vha,+54 341 569-1123,Gym,https://www.google.com/maps/search/?api=1&query=Qualis%20Gym&query_place_id=ChIJb69tj_BTtpURDE7ye0PL-EY,Gym
Estación Club Rosario - Gym,4.3,48,Corrientes 751,Rosario,Santa Fe Province,AR,https://estacionclub.com/,+54 341 200-1553,Gym,https://www.google.com/maps/search/?api=1&query=Estaci%C3%B3n%20Club%20Rosario%20-%20Gym&query_place_id=ChIJDxrkphert5URkuHyuS3IuVQ,Gym
SPICE GYM,4.4,121,Cafferata 2184,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=SPICE%20GYM&query_place_id=ChIJr-L6HJ6st5URlSXSTPCU2zo,Gym
GYM AMILKAR,4.5,51,Juan Díaz de Solis 1212 Oeste,Rosario,Santa Fe Province,AR,,+54 341 549-0634,Gym,https://www.google.com/maps/search/?api=1&query=GYM%20AMILKAR&query_place_id=ChIJHeSHkcust5URJVYiL4FsO7k,Gym
Gym La Meca,4.8,149,Av. Pellegrini 3879,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20La%20Meca&query_place_id=ChIJDf1H6Bitt5URloGYo2L_DXA,Gym
Gorillaz Gym.Rosario,4.7,41,Av. Ovidio Lagos 3835,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gorillaz%20Gym.Rosario&query_place_id=ChIJv0D2oiirt5UR3z25EyZ_SVk,Gym
Tony's GYM,4.5,70,Av. Ovidio Lagos 3227,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Tony's%20GYM&query_place_id=ChIJtS_4pHirt5URhff1B1_dJzM,Gym
Estación Club Rosario - Gym,4.4,46,3 de Febrero 1331,Rosario,Santa Fe Province,AR,http://estacionclub.com/,+54 341 679-8391,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Estaci%C3%B3n%20Club%20Rosario%20-%20Gym&query_place_id=ChIJo2UnEBGrt5URtkZQwQTmrJI,Gymnastics center
Strong Gym Fitness,4.9,21,Gaboto 249,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Strong%20Gym%20Fitness&query_place_id=ChIJGYumybOrt5URvzDLaTV2x40,Gym
ATLANTIC GYM Y FÚTBOL 5,4.5,81,Sarmiento 31,Capitán Bermúdez,Santa Fe Province,AR,,+54 341 212-9500,Gym,https://www.google.com/maps/search/?api=1&query=ATLANTIC%20GYM%20Y%20F%C3%9ATBOL%205&query_place_id=ChIJIcWPoQVRtpUR5agYwCFeNt0,Gym
AEC y AMECRO GYM,4.8,22,Urquiza 1539,Rosario,Santa Fe Province,AR,https://amecro.com.ar/amecrogym/,+54 341 707-1021,Gym,https://www.google.com/maps/search/?api=1&query=AEC%20y%20AMECRO%20GYM&query_place_id=ChIJ7V6QxNSrt5UR2-o7U6lPjUo,Gym
RYG GYM,4.5,8,Salta 1095,Álvarez,Santa Fe Province,AR,,+54 341 300-4995,Gym,https://www.google.com/maps/search/?api=1&query=RYG%20GYM&query_place_id=ChIJ9wnEJrO7t5URtiBsoJ6OzbY,Gym
ATHENEA GYM,4.5,63,Leandro N. Alem 2369,Rosario,Santa Fe Province,AR,,,Gymnastics center,https://www.google.com/maps/search/?api=1&query=ATHENEA%20GYM&query_place_id=ChIJO88DCqyrt5URYwMrgqrnbK4,Gymnastics center
Fit World Gym 2,4.3,3,"GBH, España 2054",Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Fit%20World%20Gym%202&query_place_id=ChIJedF3A9Grt5URxFLgPiJSfn8,Gym
Ursa Gym,4.3,39,Pres. Roca 3624 Sur,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Ursa%20Gym&query_place_id=ChIJpyCljpert5URIUQzJAlUuvU,Gym
360 Gym,4.7,146,"PDJ Rosario Santa Fe AR, Mendoza 4956",Rosario,Santa Fe Province,AR,,+54 341 688-6778,Gym,https://www.google.com/maps/search/?api=1&query=360%20Gym&query_place_id=ChIJLdXpTbGst5URBXOEcasbt_8,Gym
Estación Club Rosario - Gym,3.7,18,Av. Carballo 112,Rosario,Santa Fe Province,AR,http://www.estacionclub.com/,+54 341 670-0403,Gym,https://www.google.com/maps/search/?api=1&query=Estaci%C3%B3n%20Club%20Rosario%20-%20Gym&query_place_id=ChIJL-a7ckpVtpURZdmXyVxy1CI,Gym
Milón De Crotona Gym,4.6,55,Av. Acequias del Aire 743,Roldán,Santa Fe Province,AR,http://www.facebook.com/MilonDeCrotonaGym,+54 341 696-0872,Gym,https://www.google.com/maps/search/?api=1&query=Mil%C3%B3n%20De%20Crotona%20Gym&query_place_id=ChIJJ3hxyOJLtpURnH-Rr37A8aE,Gym
Burkann GYM,4.8,13,"GGG, Libertad 485",Villa Gobernador Gálvez,Santa Fe Province,AR,,+54 341 521-9651,Gym,https://www.google.com/maps/search/?api=1&query=Burkann%20GYM&query_place_id=ChIJbxE7u72pt5URGgkD5838rF0,Gym
Gimnasio New Gym,4.8,53,Bolívar 1805-1711,Villa Constitución,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20New%20Gym&query_place_id=ChIJy0sjBz9st5URiHojYW-FxeQ,Gym
Gym C.E.E.S.,4.2,5,Garay 2255,Villa Gobernador Gálvez,Santa Fe Province,AR,https://instagram.com/gym_c.e.e.s_mix?igshid=YmMyMTA2M2Y=,,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20C.E.E.S.&query_place_id=ChIJx8p3jlupt5URSGbpGE2VBoQ,Gym
Hanja Gym,4.8,27,Amenábar 1066,Rosario,Santa Fe Province,AR,,+54 341 358-6732,Gym,https://www.google.com/maps/search/?api=1&query=Hanja%20Gym&query_place_id=ChIJO7_TRKSrt5UROP-zgbbgbCY,Gym
"Gym and Squash ""Procenter""",4.6,169,Av. San Martín 1367,CJU,Santa Fe Province,AR,,+54 341 259-5910,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20and%20Squash%20%22Procenter%22&query_place_id=ChIJ1a1gMwWrt5URfcMDg6bKv0k,Gym
BODY GYM,4.4,28,Martínez de Estrada 7850,Rosario,Santa Fe Province,AR,https://body-gym.netlify.app/,+54 341 329-5994,Gym,https://www.google.com/maps/search/?api=1&query=BODY%20GYM&query_place_id=ChIJl5v4GfpStpURvHjBUCfHtXM,Gym
Taurus Gym,5,20,Almafuerte 1369,Villa Constitución,Santa Fe Province,AR,https://youtube.com/@taurusgym1369?si=fX-sYwt4sHLkh_jI,+54 11 5805-7841,Gym,https://www.google.com/maps/search/?api=1&query=Taurus%20Gym&query_place_id=ChIJsZje-89tt5URmDPfg2j4NPA,Gym
Bio Gym,4.5,4,Rivadavia 377,Granadero Baigorria,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Bio%20Gym&query_place_id=ChIJaaOIi9lTtpUR6EoiovJaj4k,Gym
